Latitude,Longitude,"Time
(UTC)","Seconds
(UTC)","Wind
Speed
350 hPa
(knots)","Wind
Speed
300 hPa
(knots)","Wind
Speed
250 hPa
(knots)","Wind
Speed
200 hPa
(knots)","Wind
Speed
150 hPa
(knots)","Wind
From
350 hPa
(degT)","Wind
From
300 hPa
(degT)","Wind
From
250 hPa
(degT)","Wind
From
200 hPa
(degT)","Wind
From
150 hPa
(degT)"
-36,105,2019-03-09 21:00:00,75600,63.504539796285,64.6602273893387,70.6217724951757,79.9525239428689,69.2284326379403,261.373842685449,264.306545892654,267.633752008544,267.770633114937,263.713106638264
-36,105,2019-03-09 00:00:00,86400,60.1226419423985,66.9938608758478,73.1931664811309,76.7877625746857,60.4623135070668,259.380344723845,261.658301555851,264.81934742754,264.188381663267,260.749659095673
-36,105,2019-06-28 03:00:00,97200,54.8956277071571,56.3574124076262,63.097144317161,74.3283534841236,58.1784570709723,258.769644946357,257.449757282678,262.743621757811,267.451869111859,262.898728274485
-37,80,2019-03-09 18:00:00,64800,9.68417005302206,7.38916631873581,13.0599735023903,18.2607611287801,25.9697915184586,259.59228868751,271.507435758775,274.267893300291,244.798876354525,216.784125584897
-37,80,2019-03-09 21:00:00,75600,11.6954194910084,12.8764109248478,20.0451747366688,19.7326547094425,18.4920818913568,285.422161318739,298.886581766911,267.220833135928,251.029592191513,230.117314849973
-37,80,2019-03-09 00:00:00,86400,9.93454782312102,12.1361919230317,20.3593933053971,21.3858233875206,20.9214024058166,300.579226872489,301.908106935653,259.548367056011,242.969139740157,228.012787504183
-37,80,2019-06-28 03:00:00,97200,14.4329635445027,14.718125076948,21.8758086290945,21.5144160465019,21.5547726100496,315.545657593416,303.69006752598,264.390725553554,251.565051177078,230.856013585429
-37,81,2019-03-09 18:00:00,64800,10.8751107193343,9.91360691144708,12.9670601055224,20.2159827213823,26.0598436384716,241.144338780283,241.927513064147,257.005383208084,247.38013505196,220.462227492093
-37,81,2019-03-09 21:00:00,75600,11.301077899243,12.8661362151496,19.3067895745149,21.2092942941237,19.8662428721988,266.054813770962,274.332313983188,265.38007651834,250.73473569082,233.35435083538
-37,81,2019-03-09 00:00:00,86400,10.5845857892491,12.8352627363259,22.1299673780308,22.697245924282,22.1811310577072,262.613956848733,268.264295411072,247.263995117419,241.898648694038,228.908544294459
