time,band,tx_sign,tx_lat,tx_lon,rx_sign,rx_lat,rx_lon,frequency,snr,drift,power,distance,snr_z,drift_z
2014-03-07 23:02:00,10,AD4PT,32.979,-97.125,N2NOM,42.271,-75.875,10.140221,-7,0,37,2129,,
2014-03-07 23:02:00,10,AD4PT,32.979,-97.125,OX3XR,64.188,-51.708,10.140231,-21,0,37,4639,,
2014-03-07 23:02:00,10,AD4PT,32.979,-97.125,GM4SFW,57.562,-4.458,10.140229,-21,0,37,7116,,
2014-03-07 23:06:00,7,AD4PT,32.979,-97.125,N6RY,33.146,-117.292,7.040133,-19,0,37,1877,,
2014-03-07 23:06:00,7,AD4PT,32.979,-97.125,KU4PY,32.396,-86.125,7.040129,-3,0,37,1031,,
2014-03-07 23:06:00,7,AD4PT,32.979,-97.125,K4EH,33.521,-84.958,7.040145,-10,0,37,1125,,
2014-03-07 23:06:00,7,AD4PT,32.979,-97.125,K9AN,40.104,-88.125,7.040129,-5,0,37,1128,,
2014-03-07 23:06:00,7,AD4PT,32.979,-97.125,WD4ELG,36.188,-79.875,7.040123,-20,0,37,1617,,
2014-03-07 23:08:00,14,AD4PT,32.979,-97.125,K6CCA,37.146,-121.625,14.097147,-6,0,37,2271,,
2014-03-07 23:08:00,14,AD4PT,32.979,-97.125,AE9RB,45.479,-122.625,14.097142,-22,0,37,2582,,
2014-03-07 23:08:00,14,AD4PT,32.979,-97.125,W7ZWW,45.312,-122.542,14.097131,-10,0,37,2569,,
2014-03-07 23:08:00,14,AD4PT,32.979,-97.125,WQ7Q,47.521,-122.958,14.097164,-11,0,37,2706,,
2014-03-07 23:08:00,14,AD4PT,32.979,-97.125,AF5ES,35.812,-106.208,14.097151,7,0,37,891,,
2014-03-07 23:08:00,14,AD4PT,32.979,-97.125,K7UEB/20,46.062,-118.375,14.097156,-13,1,37,2319,,
2014-03-07 23:08:00,14,AD4PT,32.979,-97.125,VE7ENP,49.896,-119.458,14.097092,-7,0,37,2627,,
2014-03-07 23:08:00,14,AD4PT,32.979,-97.125,AD7LF,47.688,-114.125,14.097145,-22,0,37,2170,,
2014-03-07 23:08:00,14,AD4PT,32.979,-97.125,VE6PDQ/1,53.479,-113.542,14.097148,-8,0,37,2625,,
2014-03-07 23:08:00,14,AD4PT,32.979,-97.125,W4AC,26.521,-82.958,14.097168,-2,0,37,1538,,
2014-03-07 23:08:00,14,AD4PT,32.979,-97.125,W4MO,27.521,-82.958,14.097186,-5,0,37,1483,,
2014-03-07 23:08:00,14,AD4PT,32.979,-97.125,K4EH,33.521,-84.958,14.097181,-4,0,37,1125,,
2014-03-07 23:08:00,14,AD4PT,32.979,-97.125,KB1MVX,33.521,-84.958,14.097145,-7,0,37,1125,,
